pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
20202170230000,,,,,,60621,,100,100,,41.77429910970553,-87.65280078735644
20202190340000,,,,,,60621,,202,202,,41.77501820164555,-87.64987228087769
20203240010000,,,,,,60636,,517,517,,41.76661210184489,-87.6634754272463
20204100270000,,,,,,60621,,211,211,,41.769844584503545,-87.65095612977758
13033220190000,,,,,,60646,,202,202,,41.98504133054162,-87.74062427848973
20204200040000,,,,,,60621,,EX,EX,,41.7685348261964,-87.64861363276722
20211200050000,,,,,,60621,,211,211,,41.7747710665482,-87.63850711736302
20213230190000,,,,,,60621,,EX,EX,,41.76544905760969,-87.64166499005289
20214050360000,,,,,,60621,,EX,EX,,41.769206999969924,-87.63330416322444
20222270100000,,,,,,60637,,211,211,,41.77412140285856,-87.61153915706517
20223060250000,,,,,,60637,,211,211,,41.770517087167406,-87.62391432258133
20232110511003,,,,,,60637,,299,299,,41.77524843411341,-87.59490561428605
20234050130000,,,,,,60637,,100,100,,41.77175542048019,-87.58829127924098
20234120550000,,,,,,60637,,203,203,,41.76905158214011,-87.59143782094701
20243090281007,,,,,,60649,,299,299,,41.7704523879088,-87.58464955043759
20243240220000,,,,,,60649,,190,190,,41.767345657936566,-87.5832492518057
20244020231006,,,,,,60649,,299,299,,41.77318379688434,-87.57369252207602
20244070010000,,,,,,60649,,211,211,,41.771469741760264,-87.57608907243929
20252130291009,,,,,,60649,,299,299,,41.76359030384262,-87.56681331372701
20252200070000,,,,,,60649,,206,206,,41.761659409254854,-87.56728999629362
20252270090000,,,,,,60649,,201,201,,41.75990805635304,-87.56846744808233
